date,PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene,AQI
01-02-2023,114.7395833,35.14583333,14.42826562,78.83179698,48.53002554,0.449283513,35.6201272,22.14626943,32.38606437,0.232291667,110.1289849
02-02-2023,177.4583333,52.02083333,14.42826562,79.05537092,53.57680539,1.279423351,35.6201272,22.40922685,25.87586502,0.120800836,151.8011745
03-02-2023,171.2708333,52.91666667,14.42826562,82.26304343,56.63953701,1.197264512,35.6201272,23.19321059,27.70966248,0.165625,147.6900168
04-02-2023,191.5272488,70.69023159,14.42826562,76.67485994,53.3415948,1.124688544,35.6201272,25.27314769,27.58821681,0.185187519,161.1489774
05-02-2023,225.0617029,77.52459161,14.42826562,72.36835159,63.21604976,0.883729911,35.6201272,25.97927112,24.17968827,0.212000525,183.430259
06-02-2023,268.8125,69.89583333,14.42826562,65.80281275,63.59270982,0.909038601,35.6201272,25.62180127,22.03504822,0.204166667,218.8125
07-02-2023,230.0833333,64.46875,14.42826562,69.48479563,57.01442013,0.778841076,35.6201272,21.2034494,32.17694805,0.16875,186.7667785
08-02-2023,211.0144203,61.82769641,14.42826562,74.17908192,55.06774769,1.168620887,35.6201272,22.27055163,29.24650304,0.189012668,174.0968296
09-02-2023,294.4635176,88.75,14.42826562,59.21130316,49.59621455,1.340414878,35.6201272,23.39544486,25.30865838,0.30625,244.4635176
10-02-2023,205.555457,103.65625,14.42826562,68.51441965,76.62128151,1.521250284,35.6201272,25.03478132,26.1618823,0.297795669,244.205819
11-02-2023,267.8462126,67.09528411,12.20242615,65.29084156,65.89451601,1.082978976,21.77854603,24.69667334,28.03001311,0.242643159,217.8462126
12-02-2023,151.5757637,44.90782515,11.41212297,56.81902875,39.50114044,0.664688736,7.98509614,26.88858006,35.47001708,0.140951791,134.6040309
13-02-2023,150.9003881,33.48958333,10.0920535,67.20858576,43.94730129,0.539406678,18.86897094,30.54081244,45.65245867,0.113541667,134.1552914
14-02-2023,157.9760568,45.0625,8.830407379,62.95687484,40.68825162,0.790898415,29.1801573,29.56617336,41.34735472,0.139505098,138.8565746
15-02-2023,172.8027696,52.54166667,11.09490902,72.60420081,47.62058529,1.570345045,33.11990705,24.69128949,39.97958811,0.138541667,148.7078805
16-02-2023,204.6363575,91.00134121,9.936691637,73.96548205,47.47003454,1.63875297,51.61817912,24.07456659,33.81445943,0.181160886,201.0045786
17-02-2023,232.4375,119.2708333,11.41907726,53.45944428,37.74957137,1.601932557,65.29361084,18.23334675,31.80888361,0.2125,297.5107759
18-02-2023,251.0639348,134.125,12.39363059,40.03001632,31.36093046,0.861967138,60.4784933,14.54378856,37.22309788,0.207291667,311.0726744
19-02-2023,190.5729167,117.84375,9.197571632,45.36824562,31.55507825,1.05989838,41.95096042,15.05180294,44.45044951,0.210416667,292.6390086
20-02-2023,239.4860705,140.9270833,16.63412382,43.76624947,36.82758779,0.934571862,32.98383374,16.25457112,10.27530072,0.230208333,316.2928779
21-02-2023,219.6244729,98.45833333,34.48304447,46.83487753,52.93801754,1.100700847,21.27298334,12.35850779,-11.94466279,0.204166667,226.4612069
22-02-2023,179.6123295,67.89583333,13.21200322,41.43479259,32.80161596,0.828015497,31.86395724,12.07083916,29.41741514,0.148958333,153.2323531
23-02-2023,469.2395833,88.3125,20.5523935,42.2590723,39.24896247,1.300485792,34.21408994,12.45303049,36.28799061,0.188141026,401
24-02-2023,229.9443773,83.5625,17.49997899,44.37426275,37.79195003,0.876534146,31.55217762,11.84892644,35.84818991,0.186706947,186.674452
25-02-2023,179.0299439,95.94791667,26.54675858,54.01962447,50.27676434,1.247274049,54.8921093,11.96396312,22.58075171,0.186009062,217.8911638
26-02-2023,179.0515904,75.6875,20.7382128,58.20076632,47.78888123,1.282981919,34.32850622,10.05443976,31.34369639,0.185290646,152.8597815
27-02-2023,175.9352535,78.55208333,20.8532687,75.84280848,57.24972541,0.813044784,37.98181261,9.929720527,31.147509,0.184551698,160.919181
28-02-2023,169.6809331,78.24736723,23.60196508,83.97549964,63.81641532,1.214545976,50.67167568,9.855425386,28.44975479,0.183792219,159.8789433
01-03-2023,160.2886294,88.73958333,31.22951718,87.33949736,71.66673674,1.419672996,70.75770643,8.779122425,18.83934258,0.183012208,195.6971983
02-03-2023,147.7583422,82.58333333,24.90914907,87.0774402,66.65008672,1.193217511,58.08564827,8.10714485,22.15441755,0.182211666,174.6810345
