#,from,to,PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene
1,2023-02-01 00:00:00,2023-02-01 00:15:00,95.0,35.0,,90.1,56.2,0.31,,17.7,28.1,0.4
2,2023-02-01 00:15:00,2023-02-01 00:30:00,95.0,35.0,,88.0,55.1,0.33,,18.3,27.1,0.4
3,2023-02-01 00:30:00,2023-02-01 00:45:00,95.0,35.0,,87.7,55.2,0.38,,19.7,24.9,0.4
4,2023-02-01 00:45:00,2023-02-01 01:00:00,122.0,34.0,,88.9,55.7,0.38,,21.3,21.9,0.4
5,2023-02-01 01:00:00,2023-02-01 01:15:00,122.0,34.0,,90.0,55.8,0.38,,22.3,16.7,0.4
6,2023-02-01 01:15:00,2023-02-01 01:30:00,122.0,34.0,,90.2,55.9,0.37,,22.7,16.1,0.4
7,2023-02-01 01:30:00,2023-02-01 01:45:00,122.0,34.0,,88.9,55.4,0.34,,23.1,22.5,0.4
8,2023-02-01 01:45:00,2023-02-01 02:00:00,90.0,35.0,,88.9,55.2,0.35,,23.5,20.5,0.4
9,2023-02-01 02:00:00,2023-02-01 02:15:00,90.0,35.0,,88.9,55.9,0.34,,23.1,22.8,0.4
10,2023-02-01 02:15:00,2023-02-01 02:30:00,90.0,35.0,,88.9,55.3,0.35,,22.9,19.0,0.4
11,2023-02-01 02:30:00,2023-02-01 02:45:00,90.0,35.0,,88.8,55.4,0.39,,22.6,17.1,0.4
12,2023-02-01 02:45:00,2023-02-01 03:00:00,72.0,32.0,,88.9,55.1,0.46,,22.5,19.1,0.4
13,2023-02-01 03:00:00,2023-02-01 03:15:00,72.0,32.0,,88.9,55.8,0.47,,22.7,18.2,0.4
14,2023-02-01 03:15:00,2023-02-01 03:30:00,72.0,32.0,,87.7,55.5,0.44,,22.5,18.0,0.4
15,2023-02-01 03:30:00,2023-02-01 03:45:00,72.0,32.0,,85.6,54.2,0.41,,22.7,15.7,0.4
16,2023-02-01 03:45:00,2023-02-01 04:00:00,72.0,44.0,,84.9,54.1,0.41,,23.2,13.8,0.4
17,2023-02-01 04:00:00,2023-02-01 04:15:00,72.0,44.0,,84.5,53.7,0.41,,23.4,16.4,0.4
18,2023-02-01 04:15:00,2023-02-01 04:30:00,72.0,44.0,,83.6,53.0,0.42,,21.3,16.9,0.4
19,2023-02-01 04:30:00,2023-02-01 04:45:00,72.0,44.0,,82.7,52.3,0.39,,19.9,16.7,0.4
20,2023-02-01 04:45:00,2023-02-01 05:00:00,58.0,28.0,,81.3,51.5,0.37,,18.8,18.9,0.4
21,2023-02-01 05:00:00,2023-02-01 05:15:00,58.0,28.0,,80.0,51.2,0.34,,18.3,22.8,0.4
22,2023-02-01 05:15:00,2023-02-01 05:30:00,58.0,28.0,,80.1,51.4,0.33,,17.3,22.7,0.4
23,2023-02-01 05:30:00,2023-02-01 05:45:00,58.0,28.0,,78.9,51.1,0.32,,17.2,23.7,0.4
24,2023-02-01 05:45:00,2023-02-01 06:00:00,58.0,33.0,,78.6,50.6,0.32,,17.7,24.1,0.4
25,2023-02-01 06:00:00,2023-02-01 06:15:00,58.0,33.0,,79.3,49.9,0.31,,17.6,22.4,0.4
26,2023-02-01 06:15:00,2023-02-01 06:30:00,58.0,33.0,,77.9,49.5,0.31,,17.5,17.5,0.4
27,2023-02-01 06:30:00,2023-02-01 06:45:00,58.0,33.0,,76.7,49.0,0.31,,18.0,15.8,0.4
28,2023-02-01 06:45:00,2023-02-01 07:00:00,67.0,45.0,,75.7,48.6,0.33,,18.2,14.0,0.4
29,2023-02-01 07:00:00,2023-02-01 07:15:00,67.0,45.0,,76.1,49.0,0.37,,18.0,11.0,0.4
30,2023-02-01 07:15:00,2023-02-01 07:30:00,67.0,45.0,,76.3,49.0,0.45,,19.1,9.3,0.4
31,2023-02-01 07:30:00,2023-02-01 07:45:00,67.0,45.0,,75.9,48.9,0.52,,18.8,12.5,0.4
32,2023-02-01 07:45:00,2023-02-01 08:00:00,83.0,68.0,,76.6,49.3,0.47,,18.1,22.1,0.4
33,2023-02-01 08:00:00,2023-02-01 08:15:00,83.0,68.0,,79.1,50.8,0.49,,17.3,30.1,0.4
34,2023-02-01 08:15:00,2023-02-01 08:30:00,83.0,68.0,,78.9,50.6,0.34,,18.2,35.8,0.4
35,2023-02-01 08:30:00,2023-02-01 08:45:00,83.0,68.0,,77.8,49.1,0.29,,20.4,36.9,0.4
36,2023-02-01 08:45:00,2023-02-01 09:00:00,122.0,46.0,,79.1,48.9,0.26,,21.7,,0.4
37,2023-02-01 09:00:00,2023-02-01 09:15:00,122.0,46.0,,80.4,48.6,0.26,,23.2,,0.4
38,2023-02-01 09:15:00,2023-02-01 09:30:00,122.0,46.0,,81.1,48.1,0.26,,23.4,44.5,0.4
39,2023-02-01 09:30:00,2023-02-01 09:45:00,122.0,46.0,,82.1,47.7,0.26,,22.4,44.6,0.4
40,2023-02-01 09:45:00,2023-02-01 10:00:00,99.0,31.0,,80.4,46.7,,,23.7,45.8,0.4
41,2023-02-01 10:00:00,2023-02-01 10:15:00,99.0,31.0,,77.9,45.5,,,25.1,47.3,0.4
42,2023-02-01 10:15:00,2023-02-01 10:30:00,99.0,31.0,,77.4,45.1,1.1,,27.0,48.6,0.4
43,2023-02-01 10:30:00,2023-02-01 10:45:00,99.0,31.0,,76.0,44.3,0.27,,28.2,49.2,0.2
44,2023-02-01 10:45:00,2023-02-01 11:00:00,64.0,22.0,,75.1,44.2,0.25,,26.6,50.4,0.1
45,2023-02-01 11:00:00,2023-02-01 11:15:00,64.0,22.0,,75.4,43.8,0.24,,25.8,51.7,0.1
